1, Ratatouille, 111, 2007, 2
2, Finding Nemo, 100, 2003, 1
3, Jack Frost, 101, 1998, 9
4, Alvin and the Chipmunks, 92, 2007
5, School of Rock, 109, 2003
6, Peter Pan, 113, 2003, 10
7, Spy Kids, 88, 2001, 8
8, Spy Kids 2: Island of Lost Dreams, 100, 2002
9, How the Grinch Stole Christmas, 104, 2000, 3
10, 101 Dalmations, 103, 1996, 11
11, 102 Dalmations, 100, 2000, 6
12, Richie Rich, 95, 1994
13, Doctor Dolittle, 85, 1998
